circuit_idx,p1_idx,p2_idx,r_idx,p1_name,p2_name,r_name,cancer_kills,healthy_kills,reward,kill_rate,toxicity_rate
12836084,758,494,1058,ENSG00000203697,ENSG00000143375,ENSG00000211592,335,0,670.0,21.598968407479045,0.0
10925384,5555,494,1058,ENSG00000162069,ENSG00000143375,ENSG00000211592,331,0,662.0,21.34107027724049,0.0
11153084,2796,494,1058,ENSG00000164855,ENSG00000143375,ENSG00000211592,328,0,656.0,21.147646679561575,0.0
11115884,2576,494,1058,ENSG00000188112,ENSG00000143375,ENSG00000211592,327,0,654.0,21.08317214700193,0.0
13130684,494,6911,1058,ENSG00000143375,ENSG00000125798,ENSG00000211592,324,0,648.0,20.889748549323016,0.0
